,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5156547585644183,2216419774,2025-04-17 22:55:12,很直观的感觉 男人为什么幽默 是因为可以掩盖性欲 让女人感觉对面的人风趣 然后放松警惕 我作为男的 就会感觉女人一幽默就会没有性欲 不论是不是冒犯性的 还是自嘲性的 就会突然感觉没有性欲 说到底 男人做大部分事情都是在掩盖小头的冲动 我就是这样的,来自山东,5156553879981442,2,83,很直观的感觉 男人为什么幽默 是因为可以掩盖性欲 让女人感觉对面的人风趣 然后放松警惕 我作为男的 就会感觉女人一幽默就会没有性欲 不论是不是冒犯性的 还是自嘲性的 就会突然感觉没有性欲 说到底 男人做大部分事情都是在掩盖小头的冲动 我就是这样的,6379711322,大陆脆皮鸡,https://weibo.com/u/6379711322,情感博主,烧菜全凭感觉 对人也是 ​​​,海外,m,204939,193,3323,"85,004","140,664","650,437","876,105"
1,5156547585644183,2216419774,2025-04-17 22:32:44,我曾经被一个男的抱得很紧，我说I can’t breathe you should feel lucky that I am not black 我好爱讲political joke,来自英国,5156548226322497,13,56,我曾经被一个男的抱得很紧，我说I can’t breathe you should feel lucky that I am not black 我好爱讲political joke,7787250898,还望可将那勇气带回家,https://weibo.com/u/7787250898,,不需要借钱买机票,海外,m,55,413,1062,109,23,251,383
2,5156547585644183,2216419774,2025-04-17 23:26:28,Fine.有幽默感的人类，甭管男性女性跨性别，就是统一都很有魅力谢谢。欣赏不了女性幽默感的男的说白了还是是不太行👌🏻,来自广东,5156561749810913,1,33,Fine.有幽默感的人类，甭管男性女性跨性别，就是统一都很有魅力谢谢。欣赏不了女性幽默感的男的说白了还是是不太行👌🏻,5343656094,Nam-Asocial,https://weibo.com/u/5343656094,,一个绒绒的杂食向文化人儿 | 平权主义者 |  爱好很多关注很杂发布内容不定期更换 |   喜欢您来🀄️,其他,f,141,909,1336,"1,101",211,962,"2,274"
3,5156547585644183,2216419774,2025-04-17 22:33:50,"感觉是男的可以有很多优点：幽默老实学历什么都可以在择偶层面加分，女的除了长得好看之外其他优点在择偶层面不被看见，本质来说是没把女的当人，就是把女的当一个符号，一个拿出去涨面子的挂件<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" /><img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自广东,5156548504194987,1,30,感觉是男的可以有很多优点：幽默老实学历什么都可以在择偶层面加分，女的除了长得好看之外其他优点在择偶层面不被看见，本质来说是没把女的当人，就是把女的当一个符号，一个拿出去涨面子的挂件[微笑][微笑],5580706339,Liuliuzi-,https://weibo.com/u/5580706339,,👸/🎸/🌌,海外 美国,f,64,673,1214,744,16,"1,729","2,489"
4,5156547585644183,2216419774,2025-04-17 22:32:19,能被我冒犯到的男的的确也不配听我说话。,来自北京,5156548122510590,0,17,能被我冒犯到的男的的确也不配听我说话。,7894863391,高知悍妇赵大力,https://weibo.com/u/7894863391,,,北京,m,13,182,1694,243,349,844,"1,436"
5,5156547585644183,2216419774,2025-04-17 22:31:06,谁在意呢🙄,来自广东,5156547815803398,0,2,谁在意呢🙄,1797064907,MELA-,https://weibo.com/u/1797064907,,来去无意,其他,f,1070,1038,1408,"2,647",115,"2,755","5,517"
6,5156547585644183,2216419774,2025-04-17 23:40:39,"我不仅想当搞笑女 还想去讲脱口秀<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />nobody car about some guys’ boring jokes",来自加拿大,5156565317846883,0,4,我不仅想当搞笑女 还想去讲脱口秀[doge]nobody car about some guys’ boring jokes,2889050267,四dollar,https://weibo.com/u/2889050267,,Not a nice person. 以我新的同名账号加你的人都是骗子。,海外 加拿大,f,259,1190,17875,"2,452","1,391","3,957","7,800"
7,5156547585644183,2216419774,2025-04-18 02:05:06,第一个想到Jeanette winterson，然后是电影The Party. 我想我永远会爱幽默的女性^ ^本人一向不喜欢话多的男人，可能还有个原因就是 男人一话多就容易说奇怪的话，还以为自己特别幽默、特别有魅力…现实生活中幽默得让人舒服的男性很少，而爱说教的东北大爹居多..,来自北京,5156601674334306,0,3,第一个想到Jeanette winterson，然后是电影The Party. 我想我永远会爱幽默的女性^ ^本人一向不喜欢话多的男人，可能还有个原因就是 男人一话多就容易说奇怪的话，还以为自己特别幽默、特别有魅力…现实生活中幽默得让人舒服的男性很少，而爱说教的东北大爹居多..,6594169137,小蛋糕品鉴学家,https://weibo.com/u/6594169137,,carry on saving the world,其他,f,96,300,978,"1,599",32,"2,810","4,441"
8,5156547585644183,2216419774,2025-04-17 22:52:08,哈哈哈我刚也看到了 没看两句就退出了 like who cares？,来自泰国,5156553109017919,0,1,哈哈哈我刚也看到了 没看两句就退出了 like who cares？,1873484864,迷幻西瓜,https://weibo.com/u/1873484864,,地獄です,海外,f,483,908,106,128,24,35,187
9,5156547585644183,2216419774,2025-04-18 00:02:53,真的 之前也和date讨论过 说觉得在亚洲夸女生fun好像并不会被当作compliment,来自日本,5156570913051844,0,1,真的 之前也和date讨论过 说觉得在亚洲夸女生fun好像并不会被当作compliment,6898615511,不加糖也很甜的joy,https://weibo.com/u/6898615511,,Sweet and Psycho,海外 日本,f,58,303,986,"1,881",24,"1,940","3,845"
