,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5152025243817117,7400802201,2025-04-05 17:37:36,"这里有两个现实问题<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />要后代的会选择25.要吃软饭的会选择35",来自广东,5152125299199615,11,17,这里有两个现实问题[doge]要后代的会选择25.要吃软饭的会选择35,3302682977,无妻徒行创始人,https://weibo.com/u/3302682977,“无妻徒行Never marry”创始人,广东 深圳,m,185,268,509,228,2,244,474,
1,5152025243817117,7400802201,2025-04-05 12:39:07,选欠款的，对于我这种三十来岁的人，也谈了三两个，大的小的都谈过！小的更比较容易驯服（能思想走到一起），大的大部分女性都是见过风雨的，她们不太愿意再跟你一起为未来拼搏，大部分都想吃现成的。所以可以选择的情况下我相信大部分男性选二十多，钱没有可以再挣，其他的。。。。。,来自江苏,5152050188648469,1,8,选欠款的，对于我这种三十来岁的人，也谈了三两个，大的小的都谈过！小的更比较容易驯服（能思想走到一起），大的大部分女性都是见过风雨的，她们不太愿意再跟你一起为未来拼搏，大部分都想吃现成的。所以可以选择的情况下我相信大部分男性选二十多，钱没有可以再挣，其他的。。。。。,5285150072,GO31313131,https://weibo.com/u/5285150072,小网虫,上海 嘉定区,m,327,377,92,14,0,44,58,
2,5152025243817117,7400802201,2025-04-05 12:51:04,年轻的,来自北京,5152053195440257,0,4,年轻的,1448016541,我说了我不喜欢吃榴莲的嘛_,https://weibo.com/u/1448016541,,北京,m,581,430,5040,,,,,
3,5152025243817117,7400802201,2025-04-09 08:08:20,怎么还让选上了，这两种也看不上咱,来自山东,5153431593943478,2,1,怎么还让选上了，这两种也看不上咱,2340677294,我家的一言,https://weibo.com/u/2340677294,一个人,山东,m,7486,55,6936,"11,724","14,963","10,446","37,133",
4,5152025243817117,7400802201,2025-04-09 10:26:00,部分女性还是不愿意承认，年龄给自己带来的问题。,来自北京,5153466234441620,1,0,部分女性还是不愿意承认，年龄给自己带来的问题。,1772375054,简简ws单单,https://weibo.com/u/1772375054,小胖子,北京 海淀区,m,232,121,1730,817,28,486,"1,331",
5,5152025243817117,7400802201,2025-04-08 08:52:10,闭着眼就有答案，25,来自山东,5153080237097151,0,1,闭着眼就有答案，25,1401274785,BA康,https://weibo.com/u/1401274785,,上海 徐汇区,m,363,2458,37112,,,,,
6,5152025243817117,7400802201,2025-04-05 19:48:58,25,来自上海,5152158358180471,0,1,25,1616148754,聚震,https://weibo.com/u/1616148754,,其他,m,638,5125,8541,493,167,"1,151","1,811",
7,5152025243817117,7400802201,2025-04-05 13:06:19,"女大三，抱金砖 女大三十送江山<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自北京,5152057027725025,0,1,女大三，抱金砖 女大三十送江山[doge],2266202660,我本微尘_2020,https://weibo.com/u/2266202660,互联网高级打杂，擅长端茶送水卖瓜子，天赋烧烤专精。 军事、汽车、大保健😏😏😏,北京 海淀区,m,112,172,231,81,25,30,136,
8,5152025243817117,7400802201,2025-04-05 22:35:38,35,来自辽宁,5152200301746294,0,0,35,1599085400,lpts06白鹤舞飞扬,https://weibo.com/u/1599085400,打油诗 鹤  粉花荷叶绿，碧水青鱼游， 微风波浪起，白鹤舞飞扬。（原创）,辽宁 鞍山,f,490425,14043,176671,"47,559","60,794","1,634,934","1,743,287",军事博主
9,5152025243817117,7400802201,2025-04-05 12:39:06,选35岁的，谁来都不好使。问题是你选什么样的？,来自四川,5152050180261746,0,1,选35岁的，谁来都不好使。问题是你选什么样的？,1557996747,华山论刀,https://weibo.com/u/1557996747,加仓多吉。,四川 眉山,m,429,1129,10144,326,"3,477",356,"4,159",
